index,dataset,expID,base_model,meta_model,preproc_model,results_dir_path,model_time,postproc_time,preproc_time
ACSIncome_base=skorch-NN_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=True_seed=559163766_hash=01065c67_2023.09.12-13.16,ACSIncome,"NN, EG",NN,EG,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=skorch-NN_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=True_seed=559163766_hash=01065c67_2023.09.12-13.16.12,84168.191,12.063,
ACSIncome_base=random-forest_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=19394474_hash=4e217e38_2023.09.08-18.48,ACSIncome,"RF, CR",RF,None,CR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=random-forest_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=19394474_hash=4e217e38_2023.09.08-18.48.45,4933.877,161.542,2.849
ACSIncome_base=logistic-regression_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=True_seed=162557215_hash=49ef6938_2023.09.12-00.54,ACSIncome,"LR, EG",LR,EG,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=logistic-regression_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=True_seed=162557215_hash=49ef6938_2023.09.12-00.54.21,597.136,0.451,
ACSIncome_base=lightgbm_meta=fairlearn-GS_equal-odds-constraint_preprocessor=None_one-hot=False_seed=68604827_hash=a34ed80b_2023.09.09-14.53,ACSIncome,"GBM, GS",GBM,GS,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=lightgbm_meta=fairlearn-GS_equal-odds-constraint_preprocessor=None_one-hot=False_seed=68604827_hash=a34ed80b_2023.09.09-14.53.30,19307.605,401.183,
ACSIncome_base=random-forest_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=220695183_hash=4e217e38_2023.09.09-23.46,ACSIncome,"RF, CR",RF,None,CR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=random-forest_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=220695183_hash=4e217e38_2023.09.09-23.46.22,4426.647,97.17,2.332
ACSIncome_base=skorch-NN_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=243457492_hash=5b7d565c_2023.09.10-02.07,ACSIncome,"NN, LFR",NN,None,LFR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=skorch-NN_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=243457492_hash=5b7d565c_2023.09.10-02.07.55,216.43,4.331,701.498
ACSIncome_base=skorch-NN_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=731050722_hash=fb439521_2023.09.10-01.51,ACSIncome,"NN, CR",NN,None,CR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=skorch-NN_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=731050722_hash=fb439521_2023.09.10-01.51.13,1169.024,5.109,2.464
ACSIncome_base=lightgbm_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=947822670_hash=78096807_2023.09.12-07.51,ACSIncome,"GBM, CR",GBM,None,CR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=lightgbm_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=947822670_hash=78096807_2023.09.12-07.51.49,37.095,5.083,2.667
ACSIncome_base=random-forest_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=655704057_hash=52a87db3_2023.09.11-10.45,ACSIncome,"RF, LFR",RF,None,LFR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=random-forest_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=655704057_hash=52a87db3_2023.09.11-10.45.05,1187.71,4.369,708.502
ACSIncome_base=random-forest_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=446223981_hash=4e217e38_2023.09.11-09.17,ACSIncome,"RF, CR",RF,None,CR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=random-forest_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=446223981_hash=4e217e38_2023.09.11-09.17.51,282.204,9.933,2.303
